review_id,symbol,timeframe,exchange,fib_level,fib_price,event_bar,event_time,auto_candidate,touch_type,approach_side,note,evidence_forward_bars,evidence_closes_beyond,evidence_closes_back,evidence_max_penetration_atr,swing_start_time,swing_end_time,swing_direction,swing_start_bar,swing_end_bar,chart_path,human_label,human_confidence,human_note
fib_BTC-USD_1d_20260413T000000_L0p236_b963_reaction,BTC/USD,1d,bitfinex,0.236,76486.964,963,2026-04-27T00:00:00+00:00,reaction_candidate,close_above,above,Reacted at level without a clear breakout or rejection,5,1,3,0.301,2026-04-13T00:00:00+00:00,2026-04-17T00:00:00+00:00,up,949,953,charts/fib_BTC-USD_1d_20260413T000000_L0p236_b963_reaction.png,,,
fib_BTC-USD_1d_20260420T000000_L0p5_b963_failure,BTC/USD,1d,bitfinex,0.5,76597.5,963,2026-04-27T00:00:00+00:00,failure_candidate,close_above,above,Accepted beyond level then reversed back across it,5,2,3,0.3482,2026-04-20T00:00:00+00:00,2026-04-22T00:00:00+00:00,up,956,958,charts/fib_BTC-USD_1d_20260420T000000_L0p5_b963_failure.png,,,
fib_BTC-USD_1d_20260420T000000_L0p618_b964_rejection,BTC/USD,1d,bitfinex,0.618,75917.23,964,2026-04-28T00:00:00+00:00,rejection_candidate,wick_below,above,Touched level and rejected back to the approach side,5,0,5,0.0586,2026-04-20T00:00:00+00:00,2026-04-22T00:00:00+00:00,up,956,958,charts/fib_BTC-USD_1d_20260420T000000_L0p618_b964_rejection.png,,,
fib_BTC-USD_1d_20260413T000000_L0p382_b965_rejection,BTC/USD,1d,bitfinex,0.382,75348.018,965,2026-04-29T00:00:00+00:00,rejection_candidate,wick_below,above,Touched level and rejected back to the approach side,5,0,6,0.0,2026-04-13T00:00:00+00:00,2026-04-17T00:00:00+00:00,up,949,953,charts/fib_BTC-USD_1d_20260413T000000_L0p382_b965_rejection.png,,,
fib_BTC-USD_1d_20260420T000000_L0p786_b965_rejection,BTC/USD,1d,bitfinex,0.786,74948.71,965,2026-04-29T00:00:00+00:00,rejection_candidate,close_above,above,Touched level and rejected back to the approach side,5,0,6,0.0,2026-04-20T00:00:00+00:00,2026-04-22T00:00:00+00:00,up,956,958,charts/fib_BTC-USD_1d_20260420T000000_L0p786_b965_rejection.png,,,
fib_BTC-USD_1d_20260429T000000_L0p236_b973_continuation,BTC/USD,1d,bitfinex,0.236,80963.04,973,2026-05-07T00:00:00+00:00,continuation_candidate,wick_above,above,Broke through level and continued,5,4,2,0.4525,2026-04-29T00:00:00+00:00,2026-05-06T00:00:00+00:00,up,965,972,charts/fib_BTC-USD_1d_20260429T000000_L0p236_b973_continuation.png,,,
fib_BTC-USD_1d_20260429T000000_L0p382_b973_rejection,BTC/USD,1d,bitfinex,0.382,79815.48,973,2026-05-07T00:00:00+00:00,rejection_candidate,wick_below,above,Touched level and rejected back to the approach side,5,0,5,0.0,2026-04-29T00:00:00+00:00,2026-05-06T00:00:00+00:00,up,965,972,charts/fib_BTC-USD_1d_20260429T000000_L0p382_b973_rejection.png,,,
fib_BTC-USD_1d_20260429T000000_L0p382_b978_continuation,BTC/USD,1d,bitfinex,0.382,79815.48,978,2026-05-12T00:00:00+00:00,continuation_candidate,close_above,above,Broke through level and continued,5,4,2,1.1747,2026-04-29T00:00:00+00:00,2026-05-06T00:00:00+00:00,up,965,972,charts/fib_BTC-USD_1d_20260429T000000_L0p382_b978_continuation.png,,,
fib_BTC-USD_1d_20260429T000000_L0p5_b979_continuation,BTC/USD,1d,bitfinex,0.5,78888.0,979,2026-05-13T00:00:00+00:00,continuation_candidate,close_above,above,Broke through level and continued,5,3,2,0.8991,2026-04-29T00:00:00+00:00,2026-05-06T00:00:00+00:00,up,965,972,charts/fib_BTC-USD_1d_20260429T000000_L0p5_b979_continuation.png,,,
fib_BTC-USD_1d_20260420T000000_L0p236_b982_continuation,BTC/USD,1d,bitfinex,0.236,78119.46,982,2026-05-16T00:00:00+00:00,continuation_candidate,wick_above,above,Broke through level and continued,5,5,0,0.5749,2026-04-20T00:00:00+00:00,2026-04-22T00:00:00+00:00,up,956,958,charts/fib_BTC-USD_1d_20260420T000000_L0p236_b982_continuation.png,,,
fib_BTC-USD_1d_20260429T000000_L0p618_b982_continuation,BTC/USD,1d,bitfinex,0.618,77960.52,982,2026-05-16T00:00:00+00:00,continuation_candidate,wick_below,above,Broke through level and continued,5,5,0,0.5016,2026-04-29T00:00:00+00:00,2026-05-06T00:00:00+00:00,up,965,972,charts/fib_BTC-USD_1d_20260429T000000_L0p618_b982_continuation.png,,,
fib_BTC-USD_1d_20260413T000000_L0p236_b983_reaction,BTC/USD,1d,bitfinex,0.236,76486.964,983,2026-05-17T00:00:00+00:00,reaction_candidate,close_above,above,Reacted at level without a clear breakout or rejection,5,1,5,0.4361,2026-04-13T00:00:00+00:00,2026-04-17T00:00:00+00:00,up,949,953,charts/fib_BTC-USD_1d_20260413T000000_L0p236_b983_reaction.png,,,
fib_BTC-USD_1d_20260420T000000_L0p382_b983_continuation,BTC/USD,1d,bitfinex,0.382,77277.77,983,2026-05-17T00:00:00+00:00,continuation_candidate,wick_below,above,Broke through level and continued,5,3,2,0.8026,2026-04-20T00:00:00+00:00,2026-04-22T00:00:00+00:00,up,956,958,charts/fib_BTC-USD_1d_20260420T000000_L0p382_b983_continuation.png,,,
