rank_in_candidate_horizon,sample_flag,auto_candidate,horizon,relation,fib_level,timeframe,n_events,mean_mfe,mean_mae,mean_post_bars_on_break_side,mean_forward_return,rate_close_on_approach_side,rate_crossed_back,mean_post_retest_count,mean_post_remained_near_level_rate,mean_pre_bars_approaching_level,mean_pre_distance_atr_norm,mean_pre_approach_choppiness,mean_at_wick_through_level,mean_at_close_distance_atr_norm
18,LOW SAMPLE,failure_candidate,10,touch,1,1d,3,0.081681,0.262247,18.333333,-0.024155,0.6667,1.0,6,0.013333,16,1.988782,5.971683,37.816667,0.382126
19,LOW SAMPLE,failure_candidate,10,below,0.5,1d,2,0.046693,0.163423,28,0.096277,0.5,1.0,23,0.38,5.5,2.32724,16.689036,27.4275,0.370387
1,LOW SAMPLE,failure_candidate,20,touch,0.786,1d,2,0.468457,0.133608,3,-0.291195,1.0,1.0,3.5,0.04,12,1.099326,8.910322,44.94635,0.406603
2,LOW SAMPLE,failure_candidate,20,below,1,1d,1,0.467742,0.061909,3,-0.202124,1.0,1.0,2,0.02,20,2.336444,2.670433,31.04,0.240245
3,ok,failure_candidate,20,cross,0.382,1d,30,0.340557,0.085079,21.4,0.089278,0.6333,0.8667,10.966667,0.175333,11.9,2.525679,4.213318,33.905987,0.443695
4,ok,failure_candidate,20,cross,0.786,1d,18,0.307242,0.078286,9.611111,-0.05387,0.7778,0.5556,6.833333,0.102222,14.722222,2.594064,5.287013,101.179378,0.325413
5,ok,failure_candidate,20,cross,0.5,1d,26,0.306891,0.07156,18.692308,0.006006,0.6923,0.9615,8.653846,0.14779,12.038462,2.617069,6.746458,105.26385,0.387291
6,ok,failure_candidate,20,cross,1,1d,15,0.302886,0.098317,14,-0.010987,0.8,0.8,6.4,0.092,18.333333,2.08242,10.626407,45.504667,0.471635
7,LOW SAMPLE,failure_candidate,20,above,0.236,1d,2,0.29639,0.149359,2,0.128216,1.0,1.0,4.5,0.05,20,3.73145,2.37791,32.1677,0.367726
8,LOW SAMPLE,failure_candidate,20,above,1,1d,1,0.29639,0.149359,2,0.128216,1.0,1.0,4,0.06,20,3.73145,2.37791,32.45,0.380236
9,ok,failure_candidate,20,cross,0.618,1d,18,0.28969,0.080416,20.055556,-0.039533,0.7778,0.8889,8.166667,0.137778,13.777778,2.431814,10.799203,33.273469,0.357122
10,ok,failure_candidate,20,cross,0.236,1d,25,0.287365,0.088432,17.64,0.041202,0.72,0.68,10.4,0.172233,12.8,2.682215,4.911737,82.489009,0.270405
11,ok,failure_candidate,20,touch,0.236,1d,5,0.235439,0.149994,8.6,-0.04825,1.0,1.0,9.2,0.144,14.4,2.481317,3.813385,22.75992,0.292619
12,LOW SAMPLE,failure_candidate,20,below,0.382,1d,2,0.217431,0.189628,17.5,-0.02829,0.5,1.0,17.5,0.32,16,1.338415,17.16929,20.53425,0.36363
13,LOW SAMPLE,failure_candidate,20,touch,0.382,1d,4,0.161526,0.187176,9.75,0.071258,0.75,1.0,9.75,0.12,11.5,2.92153,4.100314,25.094,0.109745
14,LOW SAMPLE,failure_candidate,20,touch,0.618,1d,1,0.14531,0.281255,6,0.058843,1.0,1.0,7,0.02,20,1.0617,8.114124,27.0004,0.278492
15,ok,failure_candidate,20,touch,0.5,1d,6,0.141722,0.217898,26.5,-0.110377,0.5,1.0,7.333333,0.058974,9.666667,2.224196,4.222976,514.2125,0.413843
16,LOW SAMPLE,failure_candidate,20,touch,1,1d,3,0.119482,0.329532,18.333333,-0.040781,0.6667,1.0,6,0.013333,16,1.988782,5.971683,37.816667,0.382126
17,ok,failure_candidate,20,below,0.786,1d,6,0.115686,0.252411,23.5,0.15282,0.1667,1.0,14.5,0.18,16.833333,3.577186,2.523472,38.994667,0.3183
18,LOW SAMPLE,failure_candidate,20,below,0.236,1d,2,0.090187,0.161603,14.5,0.090416,0.5,1.0,16.5,0.26,17.5,2.962762,3.011557,29.4687,0.207487
