rank_in_candidate_horizon,sample_flag,auto_candidate,horizon,relation,fib_level,timeframe,n_events,mean_mfe,mean_mae,mean_post_bars_on_break_side,mean_forward_return,rate_close_on_approach_side,rate_crossed_back,mean_post_retest_count,mean_post_remained_near_level_rate,mean_pre_bars_approaching_level,mean_pre_distance_atr_norm,mean_pre_approach_choppiness,mean_at_wick_through_level,mean_at_close_distance_atr_norm
21,LOW SAMPLE,continuation_candidate,20,below,1,4h,1,0.023737,0.001797,45,0.015131,0.0,1.0,6,0.1,20,0.929871,11.193846,1070.0,0.436324
1,LOW SAMPLE,continuation_candidate,50,touch,0.618,4h,4,0.124112,0.015948,36,0.027808,0.25,0.75,7.5,0.095,17.75,3.069523,5.170967,1305.201962,0.660514
2,LOW SAMPLE,continuation_candidate,50,above,0.786,4h,2,0.119873,0.075922,16.5,0.00132,1.0,1.0,11,0.1,13.5,2.699733,7.066152,1894.336,1.249127
3,ok,continuation_candidate,50,cross,0.618,4h,10,0.11407,0.041299,40.8,0.051418,0.3,0.5,4.1,0.03,17,1.76888,7.33942,1384.441985,0.65856
4,ok,continuation_candidate,50,below,0.786,4h,5,0.109477,0.032409,40.8,0.07061,0.2,0.8,3.8,0.036,18.6,2.744593,13.827335,1040.016959,0.415007
5,ok,continuation_candidate,50,touch,0.5,4h,6,0.103991,0.009204,46.5,-0.038492,0.0,0.3333,5.5,0.046667,15.666667,3.649157,12.28766,740.5,0.467869
6,ok,continuation_candidate,50,cross,0.236,4h,13,0.100854,0.034597,38.307692,0.00694,0.2308,0.3846,4.307692,0.044615,16.923077,2.322986,3.769951,1268.662107,0.51526
7,ok,continuation_candidate,50,cross,0.786,4h,16,0.099161,0.041669,38.9375,0.038796,0.3125,0.6875,6.375,0.06125,16.5,2.063225,11.383513,1191.48925,0.611657
8,LOW SAMPLE,continuation_candidate,50,above,0.236,4h,1,0.097176,0.042523,27,0.024527,1.0,1.0,9,0.04,16,0.615874,15.065116,820.024,0.382915
9,ok,continuation_candidate,50,touch,1,4h,14,0.090542,0.020704,43.285714,-0.004954,0.2143,0.7143,6,0.058571,14.642857,2.037188,36.420229,1244.785714,0.301098
10,ok,continuation_candidate,50,cross,0.382,4h,22,0.09051,0.046222,36.363636,-0.003824,0.3636,0.7727,7.454545,0.1,15.409091,1.349383,26.501437,1800.312,0.609785
11,ok,continuation_candidate,50,cross,1,4h,32,0.08383,0.037643,35.59375,0.012027,0.2812,0.75,6.0625,0.06625,17.75,2.110711,6.549542,1297.4375,0.559847
12,LOW SAMPLE,continuation_candidate,50,below,0.382,4h,1,0.083248,0.022801,41,-0.013227,1.0,1.0,15,0.2,14,2.866424,3.391997,1461.924,0.586829
13,ok,continuation_candidate,50,touch,0.786,4h,11,0.076767,0.047778,27.909091,0.011243,0.5455,1.0,9.454545,0.09262,18,2.799435,12.253531,1554.657915,0.453765
14,ok,continuation_candidate,50,cross,0.5,4h,19,0.072791,0.039901,33.157895,0.039465,0.5263,0.7368,7.473684,0.074737,15.578947,1.764277,17.979912,1149.991998,0.476638
15,ok,continuation_candidate,50,above,1,4h,6,0.064555,0.088807,18.666667,0.061199,0.8333,1.0,10,0.093333,14,1.976568,17.527612,2065.166667,0.588055
16,ok,continuation_candidate,50,touch,0.236,4h,9,0.061806,0.035546,31.333333,0.011406,0.3333,0.7778,9.555556,0.117778,13.555556,2.605823,6.699338,1323.604444,0.23533
17,LOW SAMPLE,continuation_candidate,50,below,0.236,4h,1,0.058157,0.062097,16,-0.0159,1.0,1.0,3,0.0,11,2.212052,3.026249,534.96,0.176383
18,LOW SAMPLE,continuation_candidate,50,below,0.5,4h,2,0.054316,0.042307,44.5,0.038199,0.0,1.0,7,0.09,12,1.907706,8.769894,2342.0,0.236272
19,ok,continuation_candidate,50,touch,0.382,4h,11,0.050298,0.035357,30.090909,0.009387,0.7273,1.0,13.727273,0.167273,16.181818,3.003653,7.193112,1086.123281,0.291289
20,LOW SAMPLE,continuation_candidate,50,below,1,4h,1,0.039342,0.004445,45,0.029128,0.0,1.0,6,0.1,20,0.929871,11.193846,1070.0,0.436324
21,LOW SAMPLE,continuation_candidate,50,above,0.5,4h,1,0.03281,0.012964,35,-0.007373,0.0,1.0,22,0.28,5,3.005671,3.801144,740.0,0.492345
1,ok,failure_candidate,5,cross,0.786,4h,8,0.051284,0.016731,6.625,0.040842,1.0,0.625,5.875,0.0575,17.25,2.10205,14.402601,2345.0595,0.46383
2,ok,failure_candidate,5,cross,1,4h,10,0.045459,0.013863,5.9,0.009679,1.0,0.7,4.3,0.04,17.6,2.300499,6.476273,1702.0,0.483321
3,ok,failure_candidate,5,cross,0.236,4h,6,0.043685,0.007771,16.166667,0.022288,1.0,0.3333,8.5,0.113333,17.833333,2.52388,7.259969,1699.781283,0.348832
4,ok,failure_candidate,5,cross,0.5,4h,9,0.040342,0.010119,19.111111,0.010948,1.0,1.0,8.777778,0.135556,12.222222,2.593584,5.743729,2068.888889,0.676335
5,ok,failure_candidate,5,cross,0.618,4h,8,0.034174,0.01075,16.625,0.010094,1.0,0.625,8.375,0.065,19.875,2.677288,12.351671,934.654481,0.726667
6,LOW SAMPLE,failure_candidate,5,above,0.786,4h,1,0.032986,0.015964,2,-0.001371,1.0,1.0,5,0.04,20,2.559058,3.605867,3269.924,0.284731
7,ok,failure_candidate,5,cross,0.382,4h,10,0.021067,0.00752,25.4,-0.000183,1.0,0.8,7.7,0.088,13.4,2.303832,4.268056,888.4156,0.359773
8,LOW SAMPLE,failure_candidate,5,touch,1,4h,1,0.018989,0.045885,28,-0.009174,1.0,1.0,19,0.32,6,4.833186,1.903486,2784.0,0.114035
9,LOW SAMPLE,failure_candidate,5,touch,0.382,4h,4,0.005841,0.01972,17.25,0.002608,1.0,1.0,9,0.075,14,1.761834,5.021593,2255.697,0.257707
10,LOW SAMPLE,failure_candidate,5,touch,0.5,4h,3,0.004412,0.026308,22,0.003069,1.0,1.0,13,0.106667,20,2.628763,3.506453,1174.666667,0.697821
11,LOW SAMPLE,failure_candidate,5,touch,0.236,4h,1,0.00281,0.021108,4,0.001759,1.0,1.0,9,0.14,10,3.824765,2.837789,485.943698,0.391564
1,ok,failure_candidate,10,cross,0.786,4h,8,0.074195,0.017892,6.625,0.05471,0.875,0.625,5.875,0.0575,17.25,2.10205,14.402601,2345.0595,0.46383
2,ok,failure_candidate,10,cross,1,4h,10,0.055306,0.013863,5.9,0.008169,0.9,0.7,4.3,0.04,17.6,2.300499,6.476273,1702.0,0.483321
3,ok,failure_candidate,10,cross,0.5,4h,9,0.050649,0.010119,19.111111,0.007998,0.4444,1.0,8.777778,0.135556,12.222222,2.593584,5.743729,2068.888889,0.676335
4,ok,failure_candidate,10,cross,0.236,4h,6,0.04787,0.007771,16.166667,0.012631,0.8333,0.3333,8.5,0.113333,17.833333,2.52388,7.259969,1699.781283,0.348832
5,ok,failure_candidate,10,cross,0.618,4h,8,0.041825,0.01075,16.625,0.014011,0.875,0.625,8.375,0.065,19.875,2.677288,12.351671,934.654481,0.726667
6,LOW SAMPLE,failure_candidate,10,above,0.786,4h,1,0.037063,0.015964,2,0.027138,1.0,1.0,5,0.04,20,2.559058,3.605867,3269.924,0.284731
7,ok,failure_candidate,10,cross,0.382,4h,10,0.027153,0.011681,25.4,-0.002476,0.6,0.9,7.7,0.088,13.4,2.303832,4.268056,888.4156,0.359773
8,LOW SAMPLE,failure_candidate,10,touch,1,4h,1,0.018989,0.045885,28,0.015727,0.0,1.0,19,0.32,6,4.833186,1.903486,2784.0,0.114035
9,LOW SAMPLE,failure_candidate,10,touch,0.382,4h,4,0.017473,0.027577,17.25,0.014487,0.75,1.0,9,0.075,14,1.761834,5.021593,2255.697,0.257707
10,LOW SAMPLE,failure_candidate,10,touch,0.5,4h,3,0.005517,0.040277,22,-0.010379,0.0,1.0,13,0.106667,20,2.628763,3.506453,1174.666667,0.697821
11,LOW SAMPLE,failure_candidate,10,touch,0.236,4h,1,0.003472,0.021108,4,0.005003,1.0,1.0,9,0.14,10,3.824765,2.837789,485.943698,0.391564
1,LOW SAMPLE,failure_candidate,20,above,0.786,4h,1,0.121688,0.015964,2,0.106314,1.0,1.0,5,0.04,20,2.559058,3.605867,3269.924,0.284731
2,ok,failure_candidate,20,cross,0.786,4h,8,0.084193,0.024827,6.625,0.056099,0.875,0.625,5.875,0.0575,17.25,2.10205,14.402601,2345.0595,0.46383
3,LOW SAMPLE,failure_candidate,20,touch,0.236,4h,1,0.081713,0.021108,4,-0.056836,1.0,1.0,9,0.14,10,3.824765,2.837789,485.943698,0.391564
4,ok,failure_candidate,20,cross,1,4h,10,0.076495,0.019512,5.9,0.016543,0.9,0.7,4.3,0.04,17.6,2.300499,6.476273,1702.0,0.483321
5,ok,failure_candidate,20,cross,0.5,4h,9,0.070835,0.018518,19.111111,0.015424,0.6667,1.0,8.777778,0.135556,12.222222,2.593584,5.743729,2068.888889,0.676335
